Subject ID,Slice Index,sequence,Motion_Level,DISTS
brain_AXT1PRE_200_6002207,9,t1,g1,0.00903254747390747
brain_AXT1PRE_200_6002293,0,t1,g1,0.029156982898712158
brain_AXT1PRE_200_6002293,1,t1,g1,0.05336010456085205
brain_AXT1PRE_200_6002293,2,t1,g1,0.050943851470947266
brain_AXT1PRE_200_6002293,3,t1,g1,0.03119373321533203
brain_AXT1PRE_200_6002293,4,t1,g1,0.03799480199813843
brain_AXT1PRE_200_6002293,5,t1,g1,0.0203859806060791
brain_AXT1PRE_200_6002293,6,t1,g1,0.0076904296875
brain_AXT1PRE_200_6002293,7,t1,g1,0.008868515491485596
brain_AXT1PRE_200_6002293,8,t1,g1,0.011777400970458984
brain_AXT1PRE_200_6002293,9,t1,g1,0.012984097003936768
brain_AXT1PRE_203_6000629,0,t1,g1,0.021214842796325684
brain_AXT1PRE_203_6000629,1,t1,g1,0.033329904079437256
brain_AXT1PRE_203_6000629,2,t1,g1,0.03160768747329712
brain_AXT1PRE_203_6000629,3,t1,g1,0.016777873039245605
brain_AXT1PRE_203_6000629,4,t1,g1,0.013446927070617676
brain_AXT1PRE_203_6000629,5,t1,g1,0.014578700065612793
brain_AXT1PRE_203_6000629,6,t1,g1,0.006842255592346191
brain_AXT1PRE_203_6000629,7,t1,g1,0.012715578079223633
brain_AXT1PRE_203_6000629,8,t1,g1,0.008366167545318604
brain_AXT1PRE_203_6000629,9,t1,g1,0.012580931186676025
brain_AXT1PRE_200_6002064,0,t1,g1,0.03200256824493408
brain_AXT1PRE_200_6002064,1,t1,g1,0.038018226623535156
brain_AXT1PRE_200_6002064,2,t1,g1,0.04397827386856079
brain_AXT1PRE_200_6002064,3,t1,g1,0.03433024883270264
brain_AXT1PRE_200_6002064,4,t1,g1,0.018560171127319336
brain_AXT1PRE_200_6002064,5,t1,g1,0.019823074340820312
brain_AXT1PRE_200_6002064,6,t1,g1,0.027478933334350586
brain_AXT1PRE_200_6002064,7,t1,g1,0.008828163146972656
brain_AXT1PRE_200_6002064,8,t1,g1,0.00972682237625122
brain_AXT1PRE_200_6002064,9,t1,g1,0.010378003120422363
brain_AXT1PRE_203_6000653,0,t1,g1,0.020534038543701172
brain_AXT1PRE_203_6000653,1,t1,g1,0.02816110849380493
brain_AXT1PRE_203_6000653,2,t1,g1,0.015328586101531982
brain_AXT1PRE_203_6000653,3,t1,g1,0.039332687854766846
brain_AXT1PRE_203_6000653,4,t1,g1,0.015206873416900635
