Subject ID,Slice Index,Haarpsi,VSI,VIF,NQM,LPIPS,Motion_Level,sequence
brain_AXT1PRE_210_6001891,4,0.989554910066245,0.9985,0.8475,39.20332362291381,0.0424942150712013,1,t1
brain_AXT1PRE_210_6001891,5,0.989474423133128,0.9987,0.8694,42.218229365786925,0.0346314534544944,1,t1
brain_AXT1PRE_210_6001891,6,0.9978923828631702,0.9994,0.9162,44.73901466278683,0.0212284494191408,1,t1
brain_AXT1PRE_210_6001891,7,0.996869342291529,0.9991,0.8636,41.27504335380436,0.0301461424678564,1,t1
brain_AXT1PRE_210_6001891,8,0.9944535944397812,0.9991,0.8641,37.966907155972656,0.029394868761301,1,t1
brain_AXT1PRE_210_6001891,9,0.9956014751034205,0.9988,0.8276,41.2955044027825,0.037413153797388,1,t1
brain_AXT1PRE_210_6001848,0,0.9945358562323352,0.9988,0.8644,35.2330614587489,0.0480492822825908,1,t1
brain_AXT1PRE_210_6001848,1,0.9879594971274304,0.9983,0.858,40.78975347122185,0.0600803159177303,1,t1
brain_AXT1PRE_210_6001848,2,0.997542529288229,0.9995,0.9193,39.61511016353975,0.0239243991672992,1,t1
brain_AXT1PRE_210_6001848,3,0.9883649277439612,0.9985,0.8509,35.94040086321143,0.0608167946338653,1,t1
brain_AXT1PRE_210_6001848,4,0.9977961275280136,0.9996,0.9215,41.846165751726105,0.0234499480575323,1,t1
brain_AXT1PRE_210_6001848,5,0.9811171144481458,0.9983,0.8635,35.49466061677532,0.0400891155004501,1,t1
brain_AXT1PRE_210_6001848,6,0.9943029586038382,0.9992,0.8879,42.611842482600494,0.0282505918294191,1,t1
brain_AXT1PRE_210_6001848,7,0.996753423378286,0.9995,0.9312,42.35468917556071,0.0144559666514396,1,t1
brain_AXT1PRE_210_6001848,8,0.993335907657788,0.999,0.8903,40.92349981790698,0.0231945309787988,1,t1
brain_AXT1PRE_210_6001848,9,0.9894328390769048,0.9984,0.8171,39.298673395868015,0.0384913012385368,1,t1
brain_AXT1PRE_210_6001844,0,0.9980062390987282,0.9996,0.9563,47.29440935734399,0.0150749515742063,1,t1
